text,label
you are jerk,negative
I hate this idiot,negative
this is enjoy,positive
system is acceptable,neutral
average system,neutral
what a fantastic day,positive
the experience is okay,neutral
support is acceptable,neutral
normal product,neutral
normal support,neutral
quality is acceptable,neutral
what a good day,positive
service is acceptable,neutral
feeling so love,positive
moron you,negative
normal feature,neutral
I hate this hate,negative
the delivery is okay,neutral
feeling so amazing,positive
this is bastard,negative
feeling so enjoy,positive
the support is okay,neutral
this is moron,negative
normal quality,neutral
I hate this dumb,negative
I great this,positive
average app,neutral
this is idiot,negative
feature is acceptable,neutral
what a great day,positive
I hate this fuck,negative
feeling so fantastic,positive
average support,neutral
feeling so wonderful,positive
price is acceptable,neutral
this is shit,negative
I hate this loser,negative
what a awesome day,positive
this is hate,negative
feeling so awesome,positive
this is stupid,negative
you are dumb,negative
I love this,positive
jerk you,negative
the feature is okay,neutral
bitch you,negative
idiot you,negative
this is fantastic,positive
you are shit,negative
you are hate,negative
stupid you,negative
you are stupid,negative
delivery is acceptable,neutral
you are fuck,negative
this is jerk,negative
I hate this moron,negative
this is asshole,negative
feeling so great,positive
I happy this,positive
I hate this bastard,negative
average experience,neutral
this is excellent,positive
feeling so excellent,positive
the service is okay,neutral
this is wonderful,positive
dumb you,negative
what a amazing day,positive
you are asshole,negative
this is good,positive
I hate this stupid,negative
I enjoy this,positive
normal app,neutral
this is dumb,negative
what a enjoy day,positive
I hate this shit,negative
this is happy,positive
experience is acceptable,neutral
this is loser,negative
the app is okay,neutral
I hate this bitch,negative
I amazing this,positive
normal delivery,neutral
you are moron,negative
average quality,neutral
what a love day,positive
shit you,negative
feeling so happy,positive
I wonderful this,positive
app is acceptable,neutral
the system is okay,neutral
the price is okay,neutral
you are bastard,negative
I hate this asshole,negative
what a wonderful day,positive
this is bitch,negative
average delivery,neutral
normal experience,neutral
product is acceptable,neutral
you are bitch,negative
normal system,neutral
this is fuck,negative
average service,neutral
the quality is okay,neutral
the product is okay,neutral
you are idiot,negative
what a excellent day,positive
this is amazing,positive
you are loser,negative
average feature,neutral
average product,neutral
asshole you,negative
I awesome this,positive
fuck you,negative
this is awesome,positive
I excellent this,positive
hate you,negative
I fantastic this,positive
I hate this jerk,negative
bastard you,negative
normal service,neutral
average price,neutral
this is love,positive
this is great,positive
feeling so good,positive
I good this,positive
loser you,negative
what a happy day,positive
normal price,neutral
